,composer,song_name,year,era
87,Bach,french_suites_bwv-817_(c)sankey.mid,1722,Baroque
88,Bach,well-tempered-clavier-i_bwv-868_(c)sankey.mid,1722,Baroque
89,Bach,well-tempered-clavier-i_bwv-862_(c)sankey.mid,1722,Baroque
90,Bach,french_suites_bwv-815_(c)sankey.mid,1722,Baroque
91,Bach,well-tempered-clavier-i_bwv-867_(c)sankey.mid,1722,Baroque
92,Bach,french_suites_bwv-813_(c)sankey.mid,1722,Baroque
93,Bach,french_suites_bwv-814_(c)sankey.mid,1722,Baroque
94,Bach,well-tempered-clavier-i_bwv-857_(c)sankey.mid,1722,Baroque
95,Bach,well-tempered-clavier-i_bwv-849_(c)sankey.mid,1722,Baroque
96,Bach,well-tempered-clavier-i_bwv-856_(c)sankey.mid,1722,Baroque
97,Bach,well-tempered-clavier-i_bwv-850_(c)sankey.mid,1722,Baroque
98,Bach,well-tempered-clavier-i_bwv-846_(c)sankey.mid,1722,Baroque
99,Bach,french_suites_bwv-812_(c)sankey.mid,1722,Baroque
100,Bach,well-tempered-clavier-i_bwv-869_(c)sankey.mid,1722,Baroque
101,Bach,well-tempered-clavier-i_bwv-866_(c)sankey.mid,1722,Baroque
102,Bach,well-tempered-clavier-i_bwv-860_(c)sankey.mid,1722,Baroque
103,Bach,well-tempered-clavier-i_bwv-863_(c)sankey.mid,1722,Baroque
104,Bach,well-tempered-clavier-i_bwv-851_(c)sankey.mid,1722,Baroque
105,Bach,well-tempered-clavier-i_bwv-848_(c)sankey.mid,1722,Baroque
106,Bach,well-tempered-clavier-i_bwv-865_(c)sankey.mid,1722,Baroque
107,Bach,well-tempered-clavier-i_bwv-853_(c)sankey.mid,1722,Baroque
108,Bach,well-tempered-clavier-i_bwv-852_(c)sankey.mid,1722,Baroque
109,Bach,well-tempered-clavier-i_bwv-864_(c)sankey.mid,1722,Baroque
110,Bach,well-tempered-clavier-i_bwv-855_(c)sankey.mid,1722,Baroque
111,Bach,french_suites_bwv-816.mid,1722,Baroque
112,Bach,suites_bwv-819_(c)sankey.mid,1725,Baroque
113,Telemann,telemann_fantasie_per_cembalo_1_(c)icking-archive.mid,1732,Baroque
114,Telemann,telemann_fantasie_per_cembalo_2_(c)icking-archive.mid,1732,Baroque
115,Telemann,telemann_fantasie_per_cembalo_3_(c)icking-archive.mid,1732,Baroque
116,Telemann,telemann_fantasie_per_cembalo_11_(c)icking-archive.mid,1732,Baroque
117,Telemann,telemann_fantasie_per_cembalo_4_(c)icking-archive.mid,1732,Baroque
118,Telemann,telemann_fantasie_per_cembalo_5_(c)icking-archive.mid,1732,Baroque
119,Telemann,telemann_fantasie_per_cembalo_12_(c)icking-archive.mid,1732,Baroque
120,Telemann,telemann_fantasie_per_cembalo_7_(c)icking-archive.mid,1732,Baroque
121,Telemann,telemann_fantasie_per_cembalo_9_(c)icking-archive.mid,1732,Baroque
122,Telemann,telemann_fantasie_per_cembalo_8_(c)icking-archive.mid,1732,Baroque
123,Telemann,telemann_fantasie_per_cembalo_6_(c)icking-archive.mid,1732,Baroque
124,Telemann,telemann_fantasie_per_cembalo_10_(c)icking-archive.mid,1732,Baroque
125,D.Scarlatti,k017.mid,1738,Baroque
126,D.Scarlatti,k003.mid,1738,Baroque
127,D.Scarlatti,k010.mid,1738,Baroque
128,D.Scarlatti,k013.mid,1738,Baroque
129,D.Scarlatti,k005.mid,1738,Baroque
130,D.Scarlatti,k009.mid,1738,Baroque
131,D.Scarlatti,k014.mid,1738,Baroque
132,D.Scarlatti,k011.mid,1738,Baroque
133,D.Scarlatti,K019.MID,1738,Baroque
134,D.Scarlatti,k002.mid,1738,Baroque
135,D.Scarlatti,k015.mid,1738,Baroque
136,D.Scarlatti,k007.mid,1738,Baroque
137,D.Scarlatti,k018.mid,1738,Baroque
138,D.Scarlatti,k006.mid,1738,Baroque
139,D.Scarlatti,k020.mid,1738,Baroque
